Paired Exploration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mouse Name,Sex,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,,,,,,,
Cumulative,F,5,8,11,11,12,14,17,20,20,21,24,27,28,29,31,32,34,35,38,39,40,,,,,,,,,
Cumulative,F,1,5,5,7,7,8,8,10,11,11,12,14,16,17,19,21,23,25,25,27,30,,,,,,,,,
Cumulative,F,1,2,3,3,5,6,7,7,7,7,9,12,14,15,15,18,19,19,19,20,22,,,,,,,,,
Cumulative,F,1,2,2,2,2,2,2,2,3,3,4,6,7,7,7,8,8,8,9,10,10,,,,,,,,,
Cumulative,F,0,1,4,7,9,10,12,14,15,16,18,22,28,29,32,33,34,37,38,38,40,,,,,,,,,
Cumulative,F,4,7,8,9,11,12,14,16,18,21,23,24,25,26,27,27,30,33,33,33,33,,,,,,,,,
Cumulative,F,1,2,3,4,5,5,5,9,10,11,13,15,17,17,19,23,25,26,29,29,30,,,,,,,,,
Cumulative,F,1,3,3,3,5,5,5,6,6,8,9,10,11,11,11,12,13,14,14,14,14,,,,,,,,,
CumAverage,F,1.75,3.75,4.875,5.75,7,7.75,8.75,10.5,11.25,12.25,14,16.25,18.25,18.875,20.125,21.75,23.25,24.625,25.625,26.25,27.375,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumulative,M,3,4,5,5,7,8,9,10,11,13,14,18,18,19,19,19,23,25,28,30,30,,,,,,,,,
Cumulative,M,1,1,2,2,2,4,5,6,9,11,13,14,17,19,21,25,25,26,28,28,28,,,,,,,,,
Cumulative,M,2,3,3,4,4,5,9,9,10,11,11,12,13,14,14,14,15,16,16,16,17,,,,,,,,,
Cumulative,M,2,3,6,7,8,11,11,12,15,18,20,23,27,28,32,33,35,36,37,37,37,,,,,,,,,
Cumulative,M,0,0,3,4,5,6,7,8,8,9,9,9,12,14,16,19,20,23,23,25,26,,,,,,,,,
Cumulative,M,2,2,4,4,6,7,9,9,9,9,9,10,12,12,14,15,16,17,19,19,19,,,,,,,,,
Cumulative,M,0,1,2,2,2,3,3,5,5,6,7,8,9,10,10,13,13,15,16,18,20,,,,,,,,,
Cumulative,M,0,0,0,0,2,5,7,7,8,10,12,13,14,14,16,17,21,22,22,23,26,,,,,,,,,
CumAverage,M,1.25,1.75,3.125,3.5,4.5,6.125,7.5,8.25,9.375,10.875,11.875,13.375,15.25,16.25,17.75,19.375,21,22.5,23.625,24.5,25.375,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pursuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mouse Name,Sex,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,,,,,,,
Cumulative,F,11,20,26,26,26,26,27,27,27,27,29,31,33,33,34,34,34,34,37,37,38,,,,,,,,,
Cumulative,F,3,3,3,3,3,3,3,3,3,3,5,6,6,6,6,6,6,6,6,6,6,,,,,,,,,
Cumulative,F,4,8,9,9,9,10,10,11,11,11,13,14,14,15,15,17,20,25,25,26,26,,,,,,,,,
Cumulative,F,4,4,6,6,7,10,11,14,15,15,15,16,18,19,20,24,25,26,26,26,26,,,,,,,,,
Cumulative,F,0,3,5,5,5,5,5,5,5,5,5,5,6,6,7,7,8,9,9,9,10,10,,,,,,,,
Cumulative,F,5,8,9,9,9,12,13,13,13,14,15,16,17,17,17,18,19,22,22,22,22,,,,,,,,,
Cumulative,F,0,3,4,4,5,8,8,8,11,11,16,16,16,16,17,17,17,18,21,22,23,,,,,,,,,
Cumulative,F,4,4,6,12,12,13,13,14,14,14,15,15,15,16,16,18,18,18,18,18,19,,,,,,,,,
CumAverage,F,3.875,6.625,8.5,9.25,9.5,10.875,11.25,11.875,12.375,12.5,14.125,14.875,15.625,16,16.5,17.625,18.375,19.75,20.5,20.75,21.25,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumulative,M,7,8,9,9,10,11,11,11,11,11,14,15,15,15,15,16,17,17,17,19,19,,,,,,,,,
