Mouse Name,Sex,Paired Exploration,Pursuit,Nose Nose,Anogenital Sniffing,Side Side
C262_L,F,80.78,12.051,2.322,0.678,20.508
C262_R,F,61,2.492,2.78,0.322,22.746
C274_L,F,46.898,6.153,2.525,0.831,21.441
C292_L,F,16.763,6,3.39,1.237,14.39
C296_LLR,F,114.322,2.254,3.288,0.305,41.407
C296_RRL,F,85.746,5.475,2.678,6.492,21.508
C302_L,F,65.627,5.695,7.305,0.508,26.203
C308_L,F,30.661,4.983,3.339,0.339,15.831
C249_LR,M,72.559,7.915,6.881,2.407,37.051
C249_RR,M,74.22,3.203,6.407,0.695,20.034
C255_L,M,43.203,6.797,3.017,1.898,7.068
C257_L,M,76.322,8.78,5.797,0.797,17.78
C289_L,M,46.61,10.797,2.864,1.593,14.322
C303_L,M,49.407,3.729,4.119,0.678,22.814
C313_L,M,47.322,9.136,4.525,0.847,18.136
C257_R,M,67.458,11.153,5.627,1.356,27.508
